StrikerName,TeamCode,Matches,Innings,Balls,TotalRuns,BattingAverage,StrikeRate
AB de Villiers,RCB,124,118,2390,3860,41.4,161.50627615062763
Aaron Finch,"GL,KKR,MI,PBKS,PWI,RCB,SRH",83,81,1513,1968,22.935,130.07270323859882
Abdul Basith,RR,1,1,1,1,0.0,100.0
Abdul Samad,SRH,50,40,395,577,19.396,146.0759493670886
Abhijeet Tomar,KKR,1,1,8,4,4.0,50.0
Abhimanyu Mithun,RCB,1,1,2,2,2.0,100.0
Abhinav Manohar,GT,19,15,174,231,13.83333333,132.75862068965517
Abhinav Mukund,RCB,1,1,21,19,19.0,90.47619047619048
Abhishek Nayar,"PWI,RR",16,13,120,109,12.665,90.83333333333333
Abhishek Sharma,"DC,SRH",63,61,887,1377,41.35666667,155.2423900789177
Abishek Porel,DC,18,16,236,360,20.475,152.54237288135593
Abu Nechim,RCB,7,4,6,14,5.0,233.33333333333334
Adam Gilchrist,PBKS,13,13,229,294,24.5,128.38427947598254
Adam Milne,"MI,RCB",8,6,29,23,5.75,79.3103448275862
Adam Zampa,"RPS,RR",17,5,24,15,2.915,62.5
Adil Rashid,SRH,2,2,16,22,11.0,137.5
Aditya Tare,"DC,MI,SRH",28,24,237,289,8.594444444,121.94092827004219
Aiden Markram,"PBKS,SRH",44,42,767,995,30.37,129.72620599739244
Ajantha Mendis,PWI,3,1,4,2,2.0,50.0
Ajinkya Rahane,"CSK,DC,KKR,RPS,RR",149,139,3090,3814,25.134,123.43042071197411
Ajit Agarkar,DC,4,2,16,12,12.0,75.0
Ajit Chandila,RR,8,1,6,4,0.0,66.66666666666667
Akash Deep,RCB,3,2,10,19,8.5,190.0
Akash Madhwal,MI,5,1,5,4,0.0,80.0
Akeal Hosein,SRH,1,1,10,16,0.0,160.0
Akila Dananjaya,MI,1,1,5,4,0.0,80.0
Akshath Reddy,SRH,7,7,101,91,13.0,90.0990099009901
Akshdeep Nath,"GL,PBKS,RCB",14,10,98,90,8.176666667,91.83673469387755
Albie Morkel,"CSK,DC,RCB,RPS",21,12,152,193,33.0825,126.97368421052632
Alex Carey,DC,3,3,29,32,16.0,110.34482758620689
Alex Hales,SRH,6,6,118,148,24.66,125.42372881355932
Ali Murtaza,PWI,3,1,4,5,5.0,125.0
Alzarri Joseph,"GT,MI",19,7,32,27,1.25,84.375
Aman Khan,"DC,KKR",12,10,104,115,9.375,110.57692307692308
Ambati Rayudu,"CSK,MI",157,142,2561,3264,27.08466667,127.45021475985943
Amit Mishra,"DC,LSG,SRH",95,28,237,195,13.83833333,82.27848101265823
Andre Russell,"DC,KKR",123,103,1394,2437,16.658,174.8206599713056
Andrew Tye,"GL,PBKS,RR",27,13,76,91,11.72166667,119.73684210526316
Angelo Mathews,"DC,PWI",25,22,270,348,21.4275,128.88888888888889
Angkrish Raghuvanshi,KKR,10,7,105,163,23.29,155.23809523809524
Aniket Choudhary,RCB,5,3,20,25,25.0,125.0
Ankit Bawne,DC,1,1,12,12,0.0,100.0
Ankit Rajpoot,"KKR,PBKS,RR",19,6,35,24,5.553333333,68.57142857142857
Ankit Sharma,"RPS,RR",11,6,54,69,12.25,127.77777777777777
Ankit Soni,GL,7,3,9,7,3.5,77.77777777777777
Anmolpreet Singh,"MI,SRH",9,9,115,139,12.8125,120.8695652173913
Anrich Nortje,DC,38,15,49,49,5.3325,100.0
Anshul Kamboj,MI,3,1,2,2,0.0,100.0
Anuj Rawat,"RCB,RR",24,21,267,318,11.82666667,119.10112359550561
Anukul Roy,KKR,8,5,22,26,5.75,118.18181818181819
Anureet Singh,"PBKS,RR",18,8,47,36,5.25,76.59574468085107
Arjun Tendulkar,MI,4,1,9,13,13.0,144.44444444444446
Arshad Khan,"LSG,MI",10,7,69,101,25.25,146.3768115942029
Arshdeep Singh,PBKS,62,12,40,29,2.2,72.5
