BowlerName,Matches,Innings,LegalBallsBowled,TotalRunsConceded,BowlingAverage,BowlingSR,EconomyRate,OversBowled,Wickets
Aaron Finch,14,3,0,49,49,24,12.25,4,1
Abdul Samad,12,3,0,96,96,42,13.71,7,1
Abhimanyu Mithun,1,1,0,37,37,24,9.25,4,1
Abhishek Nayar,11,3,0,59,29.5,24,7.37,8,2
Abhishek Sharma,46,23,114,351,34,22.8,8.722,41,11
Abu Nechim,9,9,0,286,60.22,38.22,8.32,33,7
Adam Milne,9,9,0,308,43.77333333,26.66666667,9.89,32,7
Adam Zampa,20,20,132,558,25.59,18.75,7.9675,70,29
Adil Rashid,2,2,42,56,28,21,8,7,2
Aiden Markram,27,10,85,134,67,42.5,9.615,14.1,2
Ajantha Mendis,3,3,0,78,39,36,6.5,12,2
Ajit Chandila,8,8,0,156,26,25,6.24,25,6
Akash Deep,8,8,164,319,51.66666667,24.53333333,12.79666667,26.8,7
Akash Madhwal,13,13,262,424,28.32,16.36,9.93,43.4,19
Akash Singh,6,6,114,188,37.6,22.8,9.89,19,5
Akeal Hosein,1,1,24,40,40,24,10,4,1
Albie Morkel,21,19,0,460,30.885,20.8925,9.1925,57,16
Ali Murtaza,3,3,0,94,31.33,20,9.4,10,3
Alzarri Joseph,19,19,382,604,61.61666667,34.76,10.02,63.4,15
Alzarri Joseph,3,3,0,87,14.5,8.66,10.03,8,6
Amit Mishra,103,103,126,2615,26.59181818,20.34,7.829090909,346,100
Anand Rajan,2,2,0,42,21,24,5.25,8,2
Andre Russell,120,105,436,2417,25.062,15.649,9.608,258.4,114
Andrew McDonald,1,1,0,17,17,12,8.5,2,1
Andrew Tye,30,30,66,979,42.314,25.1,9.504,114,42
Angelo Mathews,22,20,0,486,41.57,31.455,7.97,61,12
Aniket Choudhary,5,5,0,144,28.8,20.2,8.55,17,5
Ankeet Chavan,3,3,0,63,63,54,7,9,1
Ankit Rajpoot,29,29,0,814,44.14,27.37833333,9.168333333,88,24
Ankit Sharma,10,9,0,241,44.25,35.33333333,7.046666667,33,8
Ankit Soni,7,6,0,144,72,54.5,7.92,18,2
Anrich Nortje,46,46,506,1574,28.272,17.904,9.344,175.2,60
Anshul Kamboj,3,3,60,114,57,30,11.4,10,2
Anukul Roy,7,6,90,131,29.22,23.33333333,7.156666667,17,5
Anureet Singh,17,17,0,507,36.5,22.33,9.75,55,16
Arjun Tendulkar,4,4,59,92,30.66,19.66,9.35,9.5,3
Arshad Khan,10,10,146,304,76,39,12.31,24.2,6
Arshdeep Singh,65,65,907,2052,28.93666667,19.025,9.226666667,226.7,76
Ashish Nehra,44,44,0,1303,22.72,16.196,8.484,160,58
Ashish Reddy,22,11,0,159,26.33,16.11,9.666666667,16,7
Ashok Dinda,34,34,0,1085,55.765,33.05,9.4125,120,33
Asif K M,4,4,84,138,46,28,9.85,14,3
Avesh Khan,61,60,789,1902,29.81833333,20.44833333,8.651666667,214.9,74
Axar Patel,150,148,804,3758,35.32545455,28.52,7.368181818,516,123
Ayush Badoni,13,2,12,11,5.5,6,5.5,2,2
Azhar Mahmood,11,11,0,330,22,17.53,7.52,44,15
Azmatullah Omarzai,7,7,126,186,46.5,31.5,8.85,21,4
Barinder Sran,20,20,0,642,43.375,27.105,9.37,71,18
Basil Thampi,22,22,96,736,34.435,19.94,10.425,74,22
Ben Cutting,21,17,0,429,56.2,35.28,9.6,46,10
Ben Hilfenhaus,8,8,0,246,30.75,21,8.78,28,8
Ben Laughlin,9,9,0,282,47.22,28,10.09,28,10
Ben Stokes,42,36,0,962,43.175,27.895,9.21,113,28
Beuran Hendricks,7,7,0,235,26.65,16.8,9.44,25,9
Bhargav Bhatt,2,2,0,32,32,30,6.4,5,1
Bhuvneshwar Kumar,161,161,961,4581,31.23916667,24.4475,7.5775,600.1,170
Billy Stanlake,6,6,0,200,30.5,21.6,8.435,24,7
Bipul Sharma,19,17,0,321,30.2475,24.665,7.23,41,10
Brad Hogg,11,11,0,286,25.75,19,7.86,37,13
Brett Lee,3,3,0,86,21.5,18,7.16,12,4
Cameron Green,29,29,439,664,45.23,29.55,9.055,73.1,16
Cameron White,13,2,0,16,16,12,8,2,1
Carlos Brathwaite,14,14,0,346,37.40666667,22.68333333,9.46,39,13
Chetan Sakariya,19,19,114,599,29.36,20.09333333,8.98,71,20
Chris Gayle,26,8,0,103,22.415,19,8.15,14,5
Chris Jordan,32,32,209,1030,45.544,27.354,9.628,105.5,29
Chris Morris,81,81,0,2295,26.21,19.01,8.18,286,95
Chris Woakes,21,21,0,658,20.95,14.15666667,8.86,73,30
Colin de Grandhomme,21,16,0,264,49.125,34.5,8.515,31,6
Corey Anderson,30,22,0,518,44.8325,26.4975,10.4,49,11
D'Arcy Short,7,2,0,19,19,18,6.33,3,1
Dale Steyn,42,42,0,1187,53.26,34.392,8.462,162,38
Dan Christian,26,26,0,554,30.36333333,21.52,8.426666667,68,19
Daniel Sams,13,13,252,409,33.73,27.69,7.65,48,14
Darren Sammy,20,17,0,325,36.665,22.375,9.365,36,11
Darshan Nalkande,6,6,84,148,29.5,16.38666667,10.57333333,13.6,6
Daryl Mitchell,13,2,36,70,70,36,11.66,6,1
David Hussey,5,1,0,38,19,8.5,13.41,3,2
David Wiese,14,13,0,353,22.06,15.87,8.33,42,16
David Willey,11,11,156,272,51.5,42,7.68,36,6
Deepak Chahar,79,79,345,2180,36.02142857,25.07428571,8.371428571,272.3,77
Deepak Hooda,79,27,24,468,52.38833333,35.5,9.368333333,54,10
Dewald Brevis,7,1,3,8,8,3,16,0.3,1
Dhawal Kulkarni,63,63,0,1709,36.81571429,25.12714286,8.544285714,203,58
Dirk Nannes,5,5,0,158,39.5,29.75,7.96,20,4
Domnic Joseph,6,6,0,101,25.25,21,7.21,14,4
Duan Jansen,1,1,24,53,53,24,13.25,4,1
Dushmantha Chameera,12,12,264,384,42.66,29.33,8.72,44,9
Dwaine Pretorius,6,6,126,210,35,21,10,21,6
Dwayne Bravo,105,104,206,3022,24.56125,17.15,8.495,352.2,136
Dwayne Smith,69,26,0,472,32.674,18.9,9.936,48,17
Fabian Allen,5,4,24,136,68,45,9.84,15,2
Fazalhaq Farooqi,7,7,152,227,42.125,28,8.965,25.2,6
George Garton,5,5,0,135,45,30,9,15,3
Gerald Coetzee,10,10,201,341,26.23,15.46,10.17,33.3,13
Glenn Maxwell,118,68,302,1178,45.15666667,29.57111111,8.556666667,143.2,36
Glenn Phillips,8,4,18,40,20,15,8.33,5,2
Gurinder Sandhu,3,2,0,82,82,48,10.25,8,1
Gurkeerat Mann Singh,12,6,0,97,18.75,15,7.54,13,5
Hanuma Vihari,17,5,0,38,38,36,6.33,6,1
Harbhajan Singh,97,96,0,2498,29.15142857,23.89428571,7.264285714,348,96
Hardik Pandya,111,93,549,2150,56.305,35.7825,9.11875,234.3,64
Hardus Viljoen,6,6,0,222,31.71,19.71,9.65,23,7
Harmeet Singh,1,1,0,34,34,24,8.5,4,1
Harmeet Singh Bansal,3,3,0,87,17.4,13.6,7.67,11,5
Harpreet Brar,38,36,487,806,32.95,25.57,7.7875,104.1,25
Harry Gurney,8,8,0,238,34,23.14,8.81,27,7
Harshal Patel,93,92,897,2809,36.73454545,22.98272727,9.297272727,318.3,126
Harshit Rana,21,19,385,581,33.51666667,21.23666667,9.306666667,64.1,25
Hrithik Shokeen,13,13,204,314,62.915,41.5,9.15,34,5
Imran Tahir,59,59,0,1703,27.49125,22.055,7.52375,218,82
Iqbal Abdulla,20,20,0,560,30.195,21.16,8.735,68,19
Irfan Pathan,25,25,0,587,44.725,33.15,8.05,74,14
Ish Sodhi,8,8,0,202,21.875,19.175,7.6,30,9
Ishan Porel,1,1,0,39,39,24,9.75,4,1
Ishant Sharma,60,60,312,1791,55.49875,35.53625,8.98875,209,56
Ishwar Pandey,25,24,0,591,41.09,27.63333333,9.086666667,77,18
Isuru Udana,10,10,0,282,35.25,21.75,9.72,29,8
JP Duminy,38,25,0,421,41.08333333,33.25,7.51,57,13
Jacques Kallis,24,23,0,580,35.56,26.435,7.94,75,20
Jagadeesha Suchith,19,18,108,505,22.56666667,16.94,7.803333333,61,19
James Faulkner,57,57,0,1697,46.618,29.612,9.112,194,55
James Pattinson,10,10,0,320,29.09,19.36,9.01,35,11
Jason Behrendorff,17,17,252,552,30.32,20.4,8.945,61,19
Jason Holder,46,46,420,1461,43.07,28.78,9.061428571,165.6,53
Jasprit Bumrah,133,133,631,3714,28.55272727,21.33090909,7.852727273,506.7,165
Javon Searles,4,3,0,89,44.5,21,12.71,7,2
Jayant Yadav,17,17,0,377,47,41.4,6.482,55,8
Jaydev Unadkat,89,89,307,2751,36.26444444,23.95,8.978888889,309.1,89
Jeevan Mendis,3,2,0,36,36,30,7.2,5,1
Jhye Richardson,3,3,0,117,39,22,10.63,11,3
Jimmy Neesham,12,12,0,305,59.4,36.6,9.1,33,8
Jofra Archer,40,40,120,1171,40.34,28.92,7.7925,157,48
Johan Botha,10,10,0,190,51.4,40,7.32,26,6
John Hastings,3,3,0,66,23.75,19,7.605,9,3
Josh Hazlewood,27,27,333,810,33.7025,27.76,7.8275,100.3,35
Josh Little,11,11,228,339,26.625,17.57,9.945,38,11
Juan Theron,1,1,0,40,40,24,10,4,1
KC Cariappa,10,10,0,314,37.58333333,22.83333333,10.60333333,34,8
KM Asif,3,3,0,93,21.5,12.5,10.4,8,4
Kagiso Rabada,80,80,678,2570,25.61571429,17.61,8.641428571,302,117
Kamlesh Nagarkoti,10,9,0,231,46.2,31.2,8.88,26,5
Kane Richardson,15,15,0,472,30.45,20.875,8.88,56,19
Karanveer Singh,9,9,0,321,85.95,47.45,9.705,34,12
Karn Sharma,78,77,273,1916,26.93888889,18.31444444,8.883333333,231.3,76
Kartik Tyagi,19,19,85,662,60.6925,32.86,10.81,66.1,15
Keemo Paul,8,8,0,237,26.33,18.11,8.72,27,9
Keshav Maharaj,2,2,36,39,19.5,18,6.5,6,2
Kevon Cooper,19,19,0,583,28.565,22.025,7.875,72,23
Khaleel Ahmed,56,56,733,1843,28.40666667,19.495,8.75,209.1,74
Kieron Pollard,90,60,84,1084,49.65833333,31.205,9.088333333,116,28
Krishmar Santokie,2,2,0,90,30,16,11.25,8,3
Krishnappa Gowtham,35,34,168,779,67.498,47.242,8.444,96,21
Krunal Pandya,127,117,678,2606,37.58888889,30.22222222,7.381111111,353,76
Kuldeep Sen,10,10,223,359,24.975,15.435,9.785,37.1,14
Kuldeep Yadav,84,82,850,2390,39.06125,28.9775,8.195,290.4,87
Kuldip Yadav,2,2,42,68,34,21,9.71,7,2
Kulwant Khejroliya,7,7,26,218,44.16666667,25.16666667,11.34333333,20.2,5
Kumar Kartikeya Singh,12,12,234,329,32.9,23.4,8.285,39,10
Kwena Maphaka,2,2,36,89,89,36,14.83,6,1
Kyle Abbott,5,5,0,177,88.5,48,11.06,16,2
Kyle Jamieson,9,9,0,269,29.88,18.66,9.6,28,9
Lakshmipathy Balaji,22,22,0,686,28.58,21,8.265,84,24
Lalit Yadav,25,17,186,369,40.58333333,29,8.203333333,45,10
Lasith Malinga,66,66,0,1985,23.96,18.108,7.858,254,87
Laxmi Ratan Shukla,10,7,0,105,52.5,37,8.11,12,2
Lendl Simmons,8,1,0,34,34,18,11.33,3,1
Liam Livingstone,30,21,252,380,36.22,22.66666667,9.733333333,42,11
Liam Plunkett,7,7,0,225,56.25,37.5,9,25,4
Lizaad Williams,2,2,36,72,72,36,12,6,1
Lockie Ferguson,45,45,476,1426,46.32857143,28.07142857,9.274285714,158.8,46
Luke Wood,2,2,36,93,93,36,15.5,6,1
Luke Wright,6,5,0,100,50,29.5,10.16,10,2
Lukman Meriwala,1,1,0,32,32,18,10.66,3,1
Lungi Ngidi,14,14,0,448,19.24333333,13.08,8.946666667,54,25
M Siddharth,3,3,54,71,71,54,7.88,9,1
Maheesh Theekshana,27,27,624,797,43.12666667,34.74,7.55,104,25
Mahipal Lomror,4,4,0,47,47,42,6.71,7,1
Manpreet Gony,8,8,0,256,36.57,24,9.14,28,7
Marchant de Lange,1,1,0,32,16,12,8,4,2
Marco Jansen,21,21,414,715,54.335,30.405,9.71,75,20
Marcus Stoinis,96,62,191,1274,38.14,23.60444444,9.778888889,131.5,43
Mark Wood,4,4,96,130,11.81,8.72,8.12,16,11
Marlon Samuels,2,1,0,34,34,24,8.5,4,1
Matheesha Pathirana,20,20,451,592,19.50666667,15.09333333,7.76,74.7,34
Matt Henry,6,6,72,181,90.5,51,11.68,17,2
Mayank Dagar,8,8,137,203,101.5,68.5,8.84,22.5,2
Mayank Markande,36,36,402,1043,39.58,26.22,9.198,117,37
Mayank Yadav,4,4,73,85,12.14,10.42,6.98,12.1,7
Michael Bracewell,5,5,66,95,15.83,11,8.63,11,6
Mitchell Johnson,54,54,0,1702,43.95,28.65,8.631666667,205,61
Mitchell Marsh,33,25,241,602,35.982,21.23,8.84,68.1,28
Mitchell McClenaghan,56,56,0,1803,28.96,20.934,8.388,212,71
Mitchell Santner,18,18,240,422,28.3,24.3,6.996,61,15
Mitchell Starc,41,39,251,1137,23.12333333,16.88666667,8.286666667,137.5,51
Moeen Ali,67,52,347,893,29.46142857,23.69428571,7.408571429,125.5,35
Mohammad Nabi,23,22,74,494,39.55,29.174,8.18,65.2,15
Mohammad Shami,110,110,756,3412,38.761,26.277,8.725,403,127
Mohammed Siraj,93,93,930,2823,32.05875,21.85625,8.7425,326,93
Mohit Sharma,112,111,499,3256,29.719,19.234,9.077,373.1,132
Mohsin Khan,23,23,486,689,29.41,18.98,8.93,81,27
Moises Henriques,57,55,0,1147,59.76833333,38.62833333,7.911666667,142,39
Morne Morkel,39,39,0,1205,32.1825,24.095,7.93,151,39
Mujeeb Ur Rahman,17,17,0,509,32.93333333,22.57,8.096666667,64,19
Mukesh Choudhary,13,13,273,424,26.5,17.06,9.31,45.3,16
