Sell ID,Name,Type,Price
0,Avanish Rao Aravelly,Wicket-Keeper,"1,00,00,000"
1,Mustafizur Rahman,Bowler,"2,00,00,000"
2,Daryl Mitchell,All-Rounder,"2,00,00,000"
3,Sameer Rizvi,Batter,"2,00,00,000"
4,Rachin Ravindra,All-Rounder,"2,00,00,000"
5,Shardul Thakur,All-Rounder,"2,00,00,000"
6,Ricky Bhui,Wicket-Keeper,"1,00,00,000"
7,Sumit Kumar,All-Rounder,"2,00,00,000"
8,Swastik Chhikara,Batter,"1,00,00,000"
9,Jhye Richardson,Bowler,"2,00,00,000"
10,Shai Hope,Wicket-Keeper,"2,00,00,000"
11,Rasikh Dar,Bowler,"1,00,00,000"
12,Kumar Kushagra,Wicket-Keeper,"2,00,00,000"
13,Tristan Stubbs,Wicket-Keeper,"2,00,00,000"
14,Harry Brook,Batter,"2,00,00,000"
15,Kartik Tyagi,Bowler,"2,00,00,000"
16,Spencer Johnson,Bowler,"2,00,00,000"
17,Manav Suthar,Bowler,"1,00,00,000"
18,Robin Minz,Wicket-Keeper,"2,00,00,000"
19,Sushant Mishra,Bowler,"2,00,00,000"
20,Azmatullah Omarzai,All-Rounder,"2,00,00,000"
21,Shahrukh Khan,All-Rounder,"2,00,00,000"
22,Mujeeb Rahman,Bowler,"2,00,00,000"
23,Manish Pandey,Batter,"2,00,00,000"
24,Gus Atkinson,Bowler,"2,00,00,000"
25,Angkrish Raghuvanshi,Batter,"1,00,00,000"
26,Mitchell  Starc,Bowler,"2,00,00,000"
27,Sherfane Rutherford,Batter,"2,00,00,000"
28,Ramandeep  Singh,All-Rounder,"1,00,00,000"
29,Chetan Sakariya,Bowler,"2,00,00,000"
30,Sakib Hussain,Bowler,"1,00,00,000"
31,Ashton Turner,Batter,"2,00,00,000"
32,M. Siddharth,Bowler,"2,00,00,000"
33,Arshin Kulkarni,All-Rounder,"1,00,00,000"
34,Mohd. Arshad Khan,All-Rounder,"1,00,00,000"
35,Dilshan Madushanka,Bowler,"2,00,00,000"
36,Shreyas Gopal,Bowler,"1,00,00,000"
37,Shivalik Sharma,All-Rounder,"1,00,00,000"
38,Anshul Kamboj,All-Rounder,"1,00,00,000"
39,Naman Dhir,All-Rounder,"1,00,00,000"
40,Nuwan Thushara,Bowler,"2,00,00,000"
41,Gerald Coetzee,All-Rounder,"2,00,00,000"
42,Chris Woakes,All-Rounder,"2,00,00,000"
43,Tanay Thyagarajann,All-Rounder,"1,00,00,000"
